"ncbi_name","phylotree_tip_label","img_id","ncbi_acc","families","uvrA","mutT","mutY","mutL","mutS","mutH","dnaQ","ung","mutM","uvrD","nfi","Ts/Tv bias"," AT --> GC bias"
"Mahella australiensis 50-1 BON","t2503508009",2503508009,"GCA_000213255.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Caldanaerobacter subterraneus subsp. tengcongensis MB4","t637000318",637000318,"GCA_000007085.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacter wiegelii Rt8.B1","t2504756058",2504756058,"GCA_000147695.3","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacter sp. X513","t648028059",648028059,"GCA_000148425.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacter italicus Ab9","t646564579",646564579,"GCA_000025645.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacterium xylanolyticum LX-11","t650716095",650716095,"GCA_000189775.3","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacterium thermosaccharolyticum M0795","t2506783062",2506783062,"GCA_000328545.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Thermoanaerobacterium thermosaccharolyticum DSM 571","t648028060",648028060,"GCA_000145615.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Candidatus Arthromitus sp. SFB-mouse-Yit","t2511231204",2511231204,"GCA_000284435.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Candidatus Arthromitus sp. SFB-rat-Yit","t2511231057",2511231057,"GCA_000283555.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Clostridium perfringens SM101","t642555126",642555126,"GCA_000013845.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Clostridium perfringens str. 13","t637000079",637000079,"GCA_000009685.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Clostridium beijerinckii NCIMB 8052","t640753016",640753016,"GCA_000016965.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,1,0.111435982426205,0.0206351925510374
"Clostridium botulinum E3 str. Alaska E43","t642555125",642555125,"GCA_000020285.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Clostridium kluyveri DSM 555","t640753020",640753020,"GCA_000016505.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium ljungdahlii DSM 13528","t648028017",648028017,"GCA_000143685.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium tetani E88","t637000080",637000080,"GCA_000007625.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium botulinum A3 str. Loch Maree","t641522617",641522617,"GCA_000019545.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium botulinum BKT015925","t650716025",650716025,"GCA_000204565.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium novyi NT","t639633021",639633021,"GCA_000014125.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Clostridium cellulovorans 743B","t648028016",648028016,"GCA_000145275.1","Firmicutes",1,1,1,1,1,0,1,1,1,1,1,0.129740469203908,0.0435977554704535
"Clostridium acetobutylicum EA 2018","t651053017",651053017,"GCA_000191905.1","Firmicutes",1,1,1,1,1,0,1,0,0,1,1,0.168766095518978,-0.0334708332107864
"Anaerococcus prevotii DSM 20548","t644736326",644736326,"GCA_000024105.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Finegoldia magna ATCC 29328","t641522627",641522627,"GCA_000010185.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Filifactor alocis ATCC 35896","t2511231077",2511231077,"GCA_000163895.2","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"[Clostridium] sticklandii","t649633033",649633033,"GCA_000196455.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Peptoclostridium difficile 630","t640069308",640069308,"GCA_000009205.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Alkaliphilus metalliredigens QYMF","t640753002",640753002,"GCA_000016985.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Alkaliphilus oremlandii OhILAs","t641228475",641228475,"GCA_000018325.1","Firmicutes",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Sebaldella termitidis ATCC 33386","t646311952",646311952,"GCA_000024405.1","Fusobacteriia",1,1,1,1,1,0,1,1,1,1,1,0.129740469203908,0.0435977554704535
"Leptotrichia buccalis C-1013-b","t644736384",644736384,"GCA_000023905.1","Fusobacteriia",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Streptobacillus moniliformis DSM 12112","t646311956",646311956,"GCA_000024565.1","Fusobacteriia",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Ilyobacter polytropus DSM 2926","t649633056",649633056,"GCA_000165505.1","Fusobacteriia",1,1,1,1,1,0,1,0,0,1,0,0.167236556613325,-0.0296361428002622
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","t637000117",637000117,"GCA_000007325.1","Fusobacteriia",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Fusobacterium nucleatum subsp. animalis 7_1","t646206252",646206252,"GCA_000158275.2","Fusobacteriia",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Listeria seeligeri serovar 1/2b str. SLCC3954","t646564544",646564544,"GCA_000027145.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Listeria welshimeri serovar 6b str. SLCC5334","t639633035",639633035,"GCA_000060285.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Listeria innocua Clip11262","t637000152",637000152,"GCA_000195795.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Listeria ivanovii subsp. ivanovii PAM 55","t2511231098",2511231098,"GCA_000252975.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Listeria monocytogenes J0161","t2511231190",2511231190,"GCA_000168635.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Listeria monocytogenes M7","t651053042",651053042,"GCA_000218305.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus johnsonii DPC 6026","t651053040",651053040,"GCA_000204985.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus gasseri ATCC 33323 = JCM 1131","t639633030",639633030,"GCA_000014425.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365","t639633029",639633029,"GCA_000014405.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus delbrueckii subsp. bulgaricus ND02","t649633062",649633062,"GCA_000182835.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus kefiranofaciens ZW3","t650716047",650716047,"GCA_000214785.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus helveticus DPC 4571","t641228495",641228495,"GCA_000015385.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus acidophilus NCFM","t637000138",637000138,"GCA_000011985.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus amylovorus GRL1118","t651053037",651053037,"GCA_000194115.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus sakei subsp. sakei 23K","t637000142",637000142,"GCA_000026065.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus rhamnosus Lc 705","t644736383",644736383,"GCA_000026525.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus rhamnosus ATCC 8530","t2511231185",2511231185,"GCA_000233755.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus paracasei ATCC 334","t639633028",639633028,"GCA_000014525.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus salivarius CECT 5713","t648231712",648231712,"GCA_000143435.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Pediococcus pentosaceus ATCC 25745","t639633049",639633049,"GCA_000014505.1","Firmicutes_Bacilli",1,1,0,1,1,0,1,1,1,1,0,0.00488844634245356,-0.0649831910678462
"Pediococcus claussenii ATCC BAA-344","t2511231169",2511231169,"GCA_000237995.2","Firmicutes_Bacilli",1,0,0,1,1,0,1,1,1,1,0,-0.240472463142639,0.184869846710693
"Lactobacillus plantarum JDM1","t644736381",644736381,"GCA_000023085.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus brevis ATCC 367","t639633027",639633027,"GCA_000014465.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus sanfranciscensis TMW 1.1304","t2511231118",2511231118,"GCA_000225325.1","Firmicutes_Bacilli",1,1,0,1,1,0,1,1,1,1,0,0.00488844634245356,-0.0649831910678462
"Weissella koreensis KACC 15510","t650716105",650716105,"GCA_000219805.1","Firmicutes_Bacilli",1,1,0,1,1,0,1,1,1,1,0,0.00488844634245356,-0.0649831910678462
"Oenococcus oeni PSU-1","t639633047",639633047,"GCA_000014385.1","Firmicutes_Bacilli",1,1,0,0,0,0,1,1,1,1,0,0.274753708145716,0.0546311661877057
"Leuconostoc mesenteroides subsp. mesenteroides J18","t2511231143",2511231143,"GCA_000234825.3","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Leuconostoc kimchii IMSNU 11154","t646564543",646564543,"GCA_000092505.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Leuconostoc citreum KM20","t641522636",641522636,"GCA_000026405.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus reuteri SD2112","t650716048",650716048,"GCA_000159455.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactobacillus fermentum CECT 5716","t648231711",648231711,"GCA_000210515.1","Firmicutes_Bacilli",0,0,0,1,1,0,0,0,1,1,0,-0.123659343868592,0.149392786509318
"Lactococcus lactis subsp. lactis KF147","t646311940",646311940,"GCA_000025045.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactococcus lactis subsp. cremoris MG1363","t640069315",640069315,"GCA_000009425.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactococcus lactis subsp. cremoris SK11","t639633031",639633031,"GCA_000014545.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Lactococcus garvieae ATCC 49156","t2511231101",2511231101,"GCA_000269925.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus thermophilus ND03","t650377980",650377980,"GCA_000182875.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus salivarius JIM8777","t651053074",651053074,"GCA_000253315.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069","t650716087",650716087,"GCA_000203195.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus parauberis KCTC 11537","t650716090",650716090,"GCA_000213825.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus uberis 0140J","t643348578",643348578,"GCA_000009545.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus dysgalactiae subsp. equisimilis GGS_124","t644736406",644736406,"GCA_000010705.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pyogenes MGAS315","t637000296",637000296,"GCA_000007425.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pyogenes MGAS15252","t2512564065",2512564065,"GCA_000250905.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus equi subsp. zooepidemicus ATCC 35246","t2511231157",2511231157,"GCA_000219765.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus equi subsp. zooepidemicus","t643692039",643692039,"GCA_000026605.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus agalactiae NEM316","t637000287",637000287,"GCA_000196055.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus mutans UA159","t637000288",637000288,"GCA_000007465.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus parasanguinis ATCC 15912","t650716089",650716089,"GCA_000164675.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus oralis Uo5","t650716088",650716088,"GCA_000253155.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus mitis B6","t646564574",646564574,"GCA_000027165.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pseudopneumoniae IS7493","t2511231123",2511231123,"GCA_000221985.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pneumoniae ST556","t2512564060",2512564060,"GCA_000251085.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pneumoniae D39","t639633061",639633061,"GCA_000014365.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus pneumoniae TCH8431/19A","t648028057",648028057,"GCA_000196595.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus gordonii str. Challis substr. CH1","t640753055",640753055,"GCA_000017005.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus sanguinis SK36","t640069334",640069334,"GCA_000014205.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus suis 98HAH33","t640427147",640427147,"GCA_000014325.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Streptococcus suis D9","t2511231189",2511231189,"GCA_000231885.1","Firmicutes_Bacilli",1,1,0,1,1,0,1,1,1,1,0,0.00488844634245356,-0.0649831910678462
"Streptococcus suis ST1","t2511231211",2511231211,"GCA_000231925.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Tetragenococcus halophilus NBRC 12172","t2511231116",2511231116,"GCA_000283615.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Enterococcus faecalis V583","t637000101",637000101,"GCA_000007785.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Enterococcus faecalis OG1RF","t2511231133",2511231133,"GCA_000172575.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Carnobacterium sp. 17-4","t650716020",650716020,"GCA_000195575.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Aerococcus urinae ACS-120-V-Col10a","t650716005",650716005,"GCA_000193205.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,0,1,0,0.109906443520552,0.0244698829615616
"Lysinibacillus sphaericus C3-41","t641522637",641522637,"GCA_000017965.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Oceanobacillus iheyensis HTE831","t637000201",637000201,"GCA_000011245.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Exiguobacterium sp. AT1b","t643692023",643692023,"GCA_000023045.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Bacillus cellulosilyticus DSM 2522","t649633010",649633010,"GCA_000177235.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"[Bacillus] selenitireducens MLS10","t646564509",646564509,"GCA_000093085.1","Firmicutes_Bacilli",1,1,1,0,1,0,1,1,1,1,0,0.256599630474239,0.105231103656764
"Bacillus clausii KSM-K16","t637000019",637000019,"GCA_000009825.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Bacillus halodurans C-125","t637000020",637000020,"GCA_000011145.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Bacillus pseudofirmus OF4","t646311908",646311908,"GCA_000005825.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Paenibacillus sp. Y412MC10","t646311929",646311929,"GCA_000024685.1","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,0,0.128210930298255,0.0474324458809777
"Paenibacillus polymyxa SC2","t649633079",649633079,"GCA_000164985.2","Firmicutes_Bacilli",1,1,1,1,1,0,1,1,1,1,1,0.129740469203908,0.0435977554704535
